iter,J,gnorm
1,0.0006902748096619919,4.8161860611572016e-6
2,0.0055418409975577605,1.6544449965452647e-5
3,0.026910017146695376,8.773139071614048e-5
4,0.030956370166114796,9.060349870953543e-5
5,0.04069923626959759,9.805097466372872e-5
6,0.04431411343294677,8.799478731726927e-5
7,0.05185628177989562,7.33222273436072e-5
8,0.05567173559504802,7.963833560576894e-5
9,0.0613010178208168,6.470585992060139e-5
10,0.06558180667554402,5.253519616636335e-5
11,0.06701064173541157,6.985642998827254e-5
12,0.06923304343788038,6.704433933782377e-5
13,0.07071379721512727,0.00016960917680553325
14,0.07321536445610358,5.63609172815775e-5
15,0.07413617199664722,3.565623194129452e-5
16,0.0755091763153518,3.6724015786032796e-5
17,0.07806255085284394,7.543406690988129e-5
18,0.07973245707999765,7.663500978593777e-5
19,0.08025463145390996,6.272565153875683e-5
20,0.08095856892331804,4.961848258473013e-5
21,0.08218398193319974,8.903675287388015e-5
22,0.08342001584870978,4.686797023677257e-5
23,0.08451308448719135,6.95853637042491e-5
24,0.08630262865415579,6.549021213519874e-5
25,0.08826813528814723,6.700801690138111e-5
26,0.09042999925345077,0.00020203674821201768
27,0.09141551396103463,0.00014808849597219595
28,0.09227870965245892,5.442140268286146e-5
29,0.09356818012683174,4.890227299910036e-5
30,0.09428871038852354,0.0001479705373971945
31,0.09558214386586521,6.242046995995396e-5
32,0.09625413426843889,6.614434948254475e-5
33,0.09675663560415947,5.469031847152461e-5
34,0.09798154269400436,7.717697875361981e-5
35,0.09842261578522647,0.00017131594941787338
36,0.09930098322869899,5.142013680991284e-5
37,0.09930958331956977,7.413050682034433e-5
38,0.0993984067775785,7.364570286917943e-5
39,0.0999717842888185,0.0001794164909375774
40,0.10061592570680773,0.00012771668818355208
41,0.1013346713907735,4.739833607905306e-5
42,0.10177873170479455,5.442210587916824e-5
43,0.10225513371984592,0.00010127926419789993
44,0.10248302462618913,0.00013384582374269187
45,0.10268438565215923,0.00016165175850202802
46,0.10292269898200346,0.00017681517298821583
47,0.10297794180164349,0.0001711802683106292
48,0.10363848854149386,0.00012510005489878995
49,0.10439558461197483,4.717490656316112e-5
50,0.10464859474049876,5.357903722433759e-5
51,0.10493433740302557,5.000773268101856e-5
52,0.10546957640468423,6.163100277796343e-5
53,0.10590369205713317,7.842875166882204e-5
54,0.10641325073796604,7.879587262604996e-5
55,0.10710675088594226,9.444712924430384e-5
56,0.1072561651408766,0.00011605329902107852
57,0.10762718171795713,4.0586665894258666e-5
58,0.10772464073233964,3.411927098543223e-5
59,0.10802441179658279,3.379604608506878e-5
60,0.10835524395246474,3.6029755337921174e-5
61,0.10836821162478018,9.79264306068525e-5
62,0.10880935959576762,4.2569521660875906e-5
63,0.10897126899062713,2.481529554181057e-5
64,0.10909481460830188,3.065272885787639e-5
65,0.10924169620358122,2.7075707185014213e-5
66,0.10958757585912063,3.588872266656925e-5
67,0.10997622440657531,8.375942906546467e-5
68,0.11004217954390007,9.377960633208161e-5
69,0.110346129052846,5.282540836565699e-5
70,0.11064095258809238,4.67362068175774e-5
71,0.11083956787739217,0.0001423591175987711
72,0.11105401902739996,4.747377990301422e-5
73,0.11114428215423043,3.62751965150114e-5
74,0.11136126112307798,4.595145972379364e-5
75,0.11162965474933174,5.5683087797916705e-5
76,0.11209602159205308,7.480390716156715e-5
77,0.11269441593693043,8.164953461447903e-5
78,0.11319482398665438,6.358046233167804e-5
79,0.11364801065046116,5.6439036935581424e-5
80,0.11382611860383647,6.945643223324676e-5
81,0.11397870798886862,3.221842720879937e-5
82,0.1140917194916139,2.9218799885621457e-5
83,0.11438971283157034,4.451019698269483e-5
84,0.11464054847382954,4.78083666717955e-5
85,0.1146705854084276,0.00010151920154907692
86,0.1149639596987641,5.116150804021441e-5
87,0.11517567286681586,2.209173985543356e-5
88,0.115302091597081,2.3438336290351772e-5
89,0.11553574425357882,6.636148420221536e-5
90,0.11574495276757368,2.8543959300587894e-5
91,0.11584880179455541,2.7896581879117025e-5
92,0.11600142269619965,2.646700537617317e-5
93,0.11615959487931507,7.234475566705147e-5
94,0.1163563078226961,2.7907955366062295e-5
95,0.1164379507384182,2.3760089816830564e-5
96,0.11656414256531014,8.44960021540301e-5
97,0.11669730374210029,5.346332770632223e-5
98,0.11688652725727743,4.050445539051068e-5
99,0.11716359899798767,4.947421720722251e-5
100,0.1174146595307804,5.729032277798993e-5
101,0.11758703090063474,5.6728553786215855e-5
102,0.11768422263717696,3.696364053858354e-5
103,0.11787116394536797,4.024564259455365e-5
104,0.11796605590514972,9.08098838466563e-5
105,0.1182054945915108,4.494261250135487e-5
106,0.11835566402250296,3.5950572312516036e-5
107,0.11847165807815198,2.853236081586194e-5
108,0.1185797370622115,2.7358179095663624e-5
109,0.11871588083337821,8.792545855325794e-5
110,0.11887301343296892,4.9212918725166706e-5
111,0.11897322998708632,2.9605054471855976e-5
112,0.11907508427144992,3.244308260407211e-5
113,0.11918942285786285,3.0329219439453354e-5
114,0.11934678306779536,5.1932394303928555e-5
115,0.11953988672501756,3.255305016323662e-5
116,0.11967183394019733,3.837800668009207e-5
117,0.11981724973893627,3.8603562717104856e-5
118,0.12005180973589478,9.913498531253663e-5
119,0.12021649045077072,3.2877577081228016e-5
120,0.12031489617577132,2.9338286523465475e-5
121,0.12050627588301394,4.4620644911207204e-5
122,0.12069040070775221,3.2672825308438007e-5
123,0.1208040347245533,5.9433366520617816e-5
124,0.12098138891353398,3.2891527054690135e-5
125,0.12110837855347026,3.3414024116314064e-5
126,0.12122030808490267,4.986956831039588e-5
127,0.121330925970084,3.890392893306419e-5
128,0.12145180814597945,3.180802484029886e-5
129,0.12157349526652714,8.758311318357723e-5
130,0.12162436845208822,9.239461822343082e-5
131,0.12172118476671248,6.581420832646088e-5
132,0.1219044842338889,3.760557474754697e-5
133,0.12199837363913427,3.548710057426435e-5
134,0.1220919471441162,7.816017904822581e-5
135,0.12218191931986562,3.726095894292651e-5
136,0.1222288844102137,4.457227117161629e-5
137,0.12231690944386314,4.896592533173303e-5
138,0.12246573966064332,6.472552703860537e-5
139,0.12257339182146496,0.00011579567280668595
140,0.12268237622782838,9.198833870238363e-5
141,0.1228280430170653,9.853112406534764e-5
142,0.12292767353223585,6.277264408494013e-5
143,0.12304342606434002,4.955078628851226e-5
144,0.12314888552700343,5.623911477516448e-5
145,0.12326767233979204,5.688168291727957e-5
146,0.12329084753411382,5.122451615888586e-5
147,0.12335285911435934,3.637609934766137e-5
148,0.12337652246765089,5.3420015078455926e-5
149,0.1234151623788646,2.7056604561103202e-5
150,0.12343826840644305,3.880088772943239e-5
151,0.12348433548771975,3.8831031927497865e-5
152,0.12361413760196627,7.414451480785782e-5
153,0.1236532510853224,8.59332447879204e-5
154,0.12369078230663352,7.626023272169538e-5
155,0.12376132458324435,5.7254774874418466e-5
156,0.12387566512014826,4.306405210466124e-5
157,0.12406061729617386,4.370598719746366e-5
158,0.12420497648643383,9.041085553172109e-5
159,0.12432211996751832,3.911673852936485e-5
160,0.12439238920774731,3.96075689156534e-5
161,0.12446443851775549,9.78348076198018e-5
162,0.12454199836892771,8.160716283815525e-5
163,0.12469599690725908,5.45285493682906e-5
164,0.12473374044061032,8.107462150173009e-5
165,0.12489295324153651,5.533103307012042e-5
166,0.12503210189011435,5.619590356515588e-5
167,0.12519669793885219,5.388288650669238e-5
168,0.12538030046183232,6.019143424812583e-5
169,0.125461293684754,0.00012610161443274068
170,0.12560575659133477,7.04547349372135e-5
171,0.1256721363248278,4.4351971925367055e-5
172,0.1257332372369746,4.9299149473167916e-5
173,0.12579494962593657,4.365707264617079e-5
174,0.12588855382684444,4.893765054389304e-5
175,0.1259315825846373,8.692298874668042e-5
176,0.1260013559032911,4.8273844958312204e-5
177,0.12605594522054048,3.1633916537959494e-5
178,0.12613796149683254,3.2191649620366706e-5
179,0.12626889824293905,3.7135138398033555e-5
180,0.1263754649411355,9.587733901665888e-5
181,0.12645234303288252,0.00011888274674160081
182,0.12653450287710374,4.152389180799804e-5
183,0.1265603936074688,3.3071305815645684e-5
184,0.12660452825283244,4.291013676441758e-5
185,0.12666773876048124,4.453652389473625e-5
186,0.12670951093213814,0.00011437617454581807
187,0.12681225179146297,6.853315436433862e-5
188,0.12688930504131798,3.435971458799393e-5
189,0.12695277960248988,4.113319394831403e-5
190,0.12701977262247616,4.634566313792765e-5
191,0.1270842971630242,7.14073697903598e-5
192,0.12709401747413002,0.00011605251573641003
193,0.12716751596453085,4.9780502048561044e-5
194,0.12721317874883067,3.6977369278969317e-5
195,0.12724503720529792,4.5469289692119354e-5
196,0.1273218567889999,5.0029371129399326e-5
197,0.12745917799767195,5.950861297892053e-5
198,0.1275584369838638,5.2970959477043555e-5
199,0.1276562809706466,4.366041199037425e-5
200,0.12781336528978082,5.559607700401899e-5
201,0.12785703819877373,0.0001544980541697267
202,0.12796095808159655,5.4586318654610235e-5
203,0.12799765541676944,3.263049767003918e-5
204,0.12802407429292004,3.5792291945652636e-5
205,0.12813312982272126,3.373043423327207e-5
206,0.12813744985054495,8.243429032134488e-5
207,0.12823774737352348,5.762281530145782e-5
208,0.12829349267587062,4.9225471848448054e-5
209,0.1284397507432163,6.352275137506768e-5
210,0.12857649620090994,6.98344759527742e-5
211,0.12871714083779084,5.5433997689833156e-5
212,0.1287935357201625,7.49897944063654e-5
213,0.12884424293916713,4.1531322480474615e-5
214,0.12889175245265574,4.2976266060726405e-5
215,0.129007661446764,8.454563987890961e-5
216,0.1290847803858677,5.3795116737115386e-5
217,0.12916854695099828,7.026985098640684e-5
218,0.1292422809040043,5.332400093124243e-5
219,0.12929570888667255,4.2374880341458116e-5
220,0.1293780494899836,4.092869963966076e-5
221,0.12948334773250364,5.042142140028734e-5
222,0.1295192963162003,0.00011175074422701636
223,0.12961048967914238,3.232930920890511e-5
224,0.12964525004492658,2.8312123958922638e-5
225,0.12967812729166117,5.451759933308382e-5
226,0.12969174605580827,4.214416528996911e-5
227,0.12971557983007426,3.645098025817818e-5
228,0.1297693761966463,4.136519792536056e-5
229,0.12980296821792672,4.447320570836126e-5
230,0.12981556558912163,0.00014041510964494654
231,0.12987600667068364,7.305447205387762e-5
232,0.12991760485283815,4.68457936401391e-5
233,0.12998291571525128,5.178137787172278e-5
234,0.13002327271208097,4.780990701877794e-5
235,0.1300979955974582,3.730182238352629e-5
236,0.13013725224651096,0.00010785488558447656
237,0.13019278861097255,0.00011380159185986276
238,0.13025220993352637,5.6179184299785386e-5
239,0.13029249016397473,3.450465282362365e-5
240,0.13034164173723198,4.16237276721162e-5
241,0.13039683691661225,4.9779706224665396e-5
242,0.1304110157173509,0.00012935648839331108
243,0.13048217878082388,4.605897885045927e-5
244,0.1305071631788877,3.82846204037288e-5
245,0.13054396977679794,3.8173842900351515e-5
246,0.13059131736014834,4.707542065732028e-5
247,0.1306635587711579,3.956834542408555e-5
248,0.1306917540128734,5.1981714709062565e-5
249,0.13072660315468115,8.608855654819298e-5
250,0.13075492528602667,3.282050860847173e-5
251,0.13076272441386433,2.3261218321899235e-5
252,0.13077618708447197,3.881693237649707e-5
253,0.13079640003098827,5.546916230362461e-5
254,0.13084059593812056,5.329746935903401e-5
255,0.13084238370950108,0.00013295872791540747
256,0.13088907500291902,5.451055461251335e-5
257,0.13091383596217718,2.866538485259074e-5
258,0.1309350593786867,4.110430767005993e-5
259,0.13095580312388147,5.2027686635368363e-5
260,0.1310017515877665,6.302443738089046e-5
261,0.13104755928998543,6.522042367866465e-5
262,0.1311060843236187,4.708620836783074e-5
263,0.1311185674010863,9.900877554370618e-5
264,0.13116787396149743,3.099464299484355e-5
265,0.13117893724800125,3.297407488969792e-5
266,0.13120963372452973,3.6017191700989356e-5
267,0.13124574742293016,9.067159668635912e-5
268,0.13128902139691973,3.4690883190387125e-5
269,0.1313145404601517,3.232747300275559e-5
270,0.13135571545397592,3.7289327499131446e-5
271,0.13139919961714197,4.1175734083538136e-5
272,0.1314547798826637,3.6788957502628875e-5
273,0.1315246846381348,3.782178379389458e-5
274,0.13159139043102827,5.257312213330396e-5
275,0.13159604959142207,0.00011429661016907995
276,0.13163539165027183,3.716905251677914e-5
277,0.13165115805399935,2.760107330339984e-5
278,0.13167687539084322,4.156163210681361e-5
279,0.13170377531650693,5.1989898126704836e-5
280,0.13172063446263557,7.341165397439155e-5
281,0.131740876571029,3.535899983279255e-5
282,0.13175445028736543,3.2171750347743866e-5
283,0.13176563784178558,3.962885666793617e-5
284,0.1318002517813868,4.695738026861107e-5
285,0.13185587796371287,2.7778605561011357e-5
286,0.13189059562416225,3.901563040270612e-5
287,0.13191536709596693,5.360677730963847e-5
288,0.1319510603375568,5.3304010855262974e-5
289,0.13197515221998166,8.458774753810918e-5
290,0.13200968992251533,4.9988508909187594e-5
291,0.1320549347251201,4.577492462209972e-5
292,0.13207921425789237,5.3692264130858075e-5
293,0.1321466159184826,0.00012601460476926375
294,0.1321640632446714,9.694036577354653e-5
295,0.13219738474557513,3.3345430060749274e-5
296,0.13220660137924561,3.387755902946744e-5
297,0.1322495630968803,3.926900797130345e-5
298,0.13230590309106516,4.127066888319841e-5
299,0.13233186305695963,9.445769813606875e-5
300,0.13244657321255818,4.452269080992321e-5
